Taxa_NCBI,domain,kingdom,phylum,class,order,family,genus,subgenus,species,subspecies,varietas,forma
55483,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,Ottelia,NA,Ottelia alismoides,NA,NA,NA
55320,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Potamogetonaceae,Potamogeton,NA,Potamogeton perfoliatus,NA,NA,NA
120006,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Tofieldiaceae,Triantha,NA,Triantha racemosa,NA,NA,NA
29655,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Zosteraceae,Zostera,NA,Zostera marina,NA,NA,NA
40902,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Aegopodium,NA,Aegopodium podagraria,NA,NA,NA
2849586,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Anethum,NA,Anethum foeniculum,NA,NA,NA
40922,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Anethum,NA,Anethum graveolens,NA,NA,NA
48037,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Anethum,NA,NA,NA,NA,NA
40921,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Anethum,NA,NA,NA,NA,NA
357845,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,NA,Angelica anomala,NA,NA,NA
40949,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,NA,Angelica archangelica,NA,NA,NA
48101,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,NA,Angelica dahurica,NA,NA,NA
85712,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,NA,Angelica gigas,NA,NA,NA
357850,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,NA,Angelica keiskei,NA,NA,NA
40888,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,NA,Anthriscus cerefolium,NA,NA,NA
48027,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,NA,Anthriscus sylvestris,NA,NA,NA
4045,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,NA,Apium graveolens,NA,NA,NA
941588,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,NA,Apium graveolens,NA,NA,NA
4044,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,NA,NA,NA,NA,NA
46367,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,NA,Bupleurum falcatum,NA,NA,NA
90446,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,NA,Bupleurum rotundifolium,NA,NA,NA
48032,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Carum,NA,Carum carvi,NA,NA,NA
52456,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Caucalis,NA,Caucalis platycarpos,NA,NA,NA
48106,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Centella,NA,Centella asiatica,NA,NA,NA
54711,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Conioselinum,NA,Conioselinum officinale,NA,NA,NA
110318,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Conioselinum,NA,Conioselinum tenuissimum,NA,NA,NA
13447,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Conium,NA,Conium maculatum,NA,NA,NA
4047,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Coriandrum,NA,Coriandrum sativum,NA,NA,NA
4046,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Coriandrum,NA,NA,NA,NA,NA
79200,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,NA,Daucus carota,Daucus carota subsp. sativus,NA,NA
4039,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,NA,Daucus carota,NA,NA,NA
4038,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,NA,NA,NA,NA,NA
57122,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Dystaenia,NA,Dystaenia takeshimana,NA,NA,NA
477864,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,NA,Eryngium foetidum,NA,NA,NA
43071,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,NA,Eryngium planum,NA,NA,NA
90460,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,NA,Eryngium yuccifolium,NA,NA,NA
43070,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,NA,NA,NA,NA,NA
52471,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Ferula,NA,Ferula assa-foetida,NA,NA,NA
54829,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Ferula,NA,Ferula communis,NA,NA,NA
52470,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Ferula,NA,NA,NA,NA,NA
48119,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Glehnia,NA,Glehnia littoralis,NA,NA,NA
40919,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,NA,Heracleum sphondylium,NA,NA,NA
312531,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Kitagawia,NA,Kitagawia praeruptora,NA,NA,NA
48042,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Levisticum,NA,Levisticum officinale,NA,NA,NA
182415,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Ostericum,NA,Ostericum grosseserratum,NA,NA,NA
4041,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pastinaca,NA,Pastinaca sativa,NA,NA,NA
4043,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Petroselinum,NA,Petroselinum crispum,NA,NA,NA
