filename,Category
P3_A5_554,Root > Personal Care > Hair Care > Hair Repair
P3_A11_597,Root > Personal Care > Hair Care > Hair Repair
P7_F3_17,Root > Personal Care > Hair Care > Hair Repair > Hair Oil
P3_A2_591,Root > Personal Care > Hair Care > Hair Repair > Hair Oil
P3_A3_548,Root > Personal Care > Hair Care > Hair Repair > Hair Oil
P3_A12_555,Root > Personal Care > Hair Care > Hair Repair > Hair Oil
P4_D4_400,Root > Personal Care > Hair Care > Hair Repair > Hair Oil
P3_C2_59,Root > Personal Care > Hair Care > Hair Repair > Hair Oil
P1_F4_43,Root > Personal Care > Hair Care > Hair Styling Products
P3_B2_589,Root > Personal Care > Hair Care > Hair Styling Products
P1_B5_525,Root > Personal Care > Hair Care > Hair Styling Products
P6_B9_248,Root > Personal Care > Hair Care > Hair Styling Products
P1_B3_522,Root > Personal Care > Hair Care > Hair Styling Products
P3_A7_550,Root > Personal Care > Hair Care > Hair Styling Products
P5_C6_311,Root > Personal Care > Hair Care > Hair Styling Products > Anti frizz product
P5_C2_309,Root > Personal Care > Hair Care > Hair Styling Products > Anti frizz product
P5_B1_303,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P6_C6_240,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P6_C7_238,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P5_B6_300,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P6_A7_270,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P3_D5_233,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P3_D6_251,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P6_B5_251,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P5_D1_151,Root > Personal Care > Hair Care > Hair Styling Products > Hairgel
P5_B4_283,Root > Personal Care > Hair Care > Hair Styling Products > Hairgel
P3_A9_595,Root > Personal Care > Hair Care > Hair Styling Products > Hairgel
P3_D1_26,Root > Personal Care > Hair Care > Hair Styling Products > Hairgel
P3_D10_18,Root > Personal Care > Hair Care > Hair Styling Products > Hairgel
