basefilename	cluster_scan	dataset_id	filename	metadata
ECG_1_18C_BB3_01_56947.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_18C_BB3_01_56947.mzML	 
ECG_1_18B_BB2_01_56946.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_18B_BB2_01_56946.mzML	 
ECG_1_18A_BB1_01_56945.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_18A_BB1_01_56945.mzML	 
STAK_30_BL_GE3_01_60367.mzML	27613	MSV000086482	f.MSV000086482/ccms_peak/mzXML/STAK_30_BL_GE3_01_60367.mzML	 
STAK_22_POST_GH8_01_60413.mzML	27613	MSV000086482	f.MSV000086482/ccms_peak/mzXML/STAK_22_POST_GH8_01_60413.mzML	 
STAK_20_POST_GC2_01_60334.mzML	27613	MSV000086482	f.MSV000086482/ccms_peak/mzXML/STAK_20_POST_GC2_01_60334.mzML	 
STAK_06_BL_GC6_01_60339.mzML	27613	MSV000086482	f.MSV000086482/ccms_peak/mzXML/STAK_06_BL_GC6_01_60339.mzML	 
78.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/78.mzML	 
39.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/39.mzML	 
224.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/224.mzML	 
222.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/222.mzML	 
219.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/219.mzML	 
217.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/217.mzML	 
211.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/211.mzML	 
208.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/208.mzML	 
207.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/207.mzML	 
205.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/205.mzML	 
173.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/173.mzML	 
172.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/172.mzML	 
143.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/143.mzML	 
142.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/142.mzML	 
130.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/130.mzML	 
129.mzML	9663	MSV000086178	f.MSV000086178/ccms_peak/129.mzML	 
18NAVY28_V2_20180413_BA12_01_39360.mzML	6116	MSV000086158	f.MSV000086158/ccms_peak/Stool-Food match/18NAVY28_V2_20180413_BA12_01_39360.mzML	 
18NAVY28_V1_20180326_BA5_01_39352.mzML	6116	MSV000086158	f.MSV000086158/ccms_peak/Stool-Food match/18NAVY28_V1_20180326_BA5_01_39352.mzML	 
18NAVY28_V1_20180323_BA4_01_39351.mzML	6116	MSV000086158	f.MSV000086158/ccms_peak/Stool-Food match/18NAVY28_V1_20180323_BA4_01_39351.mzML	 
18NAVY27_V2_20180209_BE2_01_39422.mzML	6116	MSV000086158	f.MSV000086158/ccms_peak/Stool-Food match/18NAVY27_V2_20180209_BE2_01_39422.mzML	 
Sample-X-101.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-X-101.mzML	 
Sample-2F1.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-2F1.mzML	 
Sample-2E5.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-2E5.mzML	 
Sample-2C5.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-2C5.mzML	 
Sample-2C1.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-2C1.mzML	 
Sample-2A1.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-2A1.mzML	 
Sample-1F7.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-1F7.mzML	 
Sample-1E4.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-1E4.mzML	 
Sample-1D5.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-1D5.mzML	 
Sample-1B8.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-1B8.mzML	 
Sample-1B2.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Feces/Sample-1B2.mzML	 
Food-9-test-310518.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-9-test-310518.mzML	 
Food-310518-9.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-9.mzML	 
Food-310518-8.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-8.mzML	 
Food-310518-7.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-7.mzML	 
Food-310518-6.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-6.mzML	 
Food-310518-5.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-5.mzML	 
Food-310518-4.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-4.mzML	 
Food-310518-3.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-3.mzML	 
Food-310518-36.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-36.mzML	 
Food-310518-35.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-35.mzML	 
Food-310518-34.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-34.mzML	 
Food-310518-33.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-33.mzML	 
Food-310518-32.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-32.mzML	 
Food-310518-31.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-31.mzML	 
Food-310518-30.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-30.mzML	 
Food-310518-2.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-2.mzML	 
Food-310518-29.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-29.mzML	 
Food-310518-28.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-28.mzML	 
Food-310518-27.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-27.mzML	 
Food-310518-26.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-26.mzML	 
Food-310518-25.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-25.mzML	 
Food-310518-24.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-24.mzML	 
Food-310518-23.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-23.mzML	 
Food-310518-22.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-22.mzML	 
Food-310518-21.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-21.mzML	 
Food-310518-20.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-20.mzML	 
Food-310518-1.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-1.mzML	 
Food-310518-1-firstrun.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-1-firstrun.mzML	 
Food-310518-19.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-19.mzML	 
Food-310518-18.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-18.mzML	 
Food-310518-17.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-17.mzML	 
Food-310518-16.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-16.mzML	 
Food-310518-15.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-15.mzML	 
Food-310518-14.mzML	53743	MSV000086131	f.MSV000086131/ccms_peak/Food/Food-310518-14.mzML	 
