,NCBI
1554,201021
1555,201276
1556,201280
1557,201284
1558,20145
1559,2014984
1560,201509
1561,201513
1562,2017692
1563,2017695
1564,20202
1565,2021205
1566,2021210
1567,2021211
1568,2021390
1569,202614
1570,202615
1571,202622
1572,202624
1573,202626
1574,2026555
1575,202773
1576,2028265
1577,2028267
1578,202969
1579,2029787
1580,202985
1581,202991
1582,203050
1583,203100
1584,203270
1585,20339
1586,20340
1587,2034351
1588,2035337
1589,203582
1590,203643
1591,203716
1592,203717
1593,2038229
1594,2039304
1595,2039306
1596,20400
1597,20408
1598,204109
1599,204110
1600,204122
1601,204123
1602,204124
1603,204130
1604,204136
1605,204149
1606,204180
1607,204198
1608,204215
1609,204219
1610,204222
1611,2042386
1612,204402
1613,2044324
1614,204518
1615,2045300
1616,2047853
1617,20483
1618,2054448
1619,2054573
1620,205465
1621,205530
1622,205536
1623,205569
1624,2060786
1625,2065961
1626,20675
1627,20676
1628,20677
1629,20685
1630,2071413
1631,2072215
1632,2072223
1633,2072239
1634,2072282
1635,2072290
1636,2072293
1637,2072294
1638,2072295
1639,2078961
1640,2082994
1641,208494
1642,209321
1643,209324
1644,209333
1645,209356
1646,209613
1647,20997
1648,2100126
1649,210034
1650,210041
1651,2100654
1652,2100677
1653,21013
1654,210143
1655,210162
1656,21017
1657,21018
1658,21019
1659,21024
1660,210328
1661,210333
1662,210334
1663,210335
1664,210336
1665,210339
1666,210340
1667,210348
1668,210357
1669,210369
1670,210376
1671,210381
1672,210858
1673,2109291
1674,211495
1675,2115957
1676,211815
1677,211921
1678,212239
1679,212253
1680,212275
1681,212292
1682,2126358
1683,212671
1684,212690
1685,212700
1686,212788
1687,212836
1688,212842
1689,212844
1690,212878
1691,212900
1692,212925
1693,212941
1694,212944
1695,212953
1696,212960
1697,212981
1698,213002
1699,213019
1700,213047
1701,213255
1702,213265
1703,2135803
1704,213598
1705,2136685
1706,214053
1707,21472
1708,214907
1709,214908
1710,214909
1711,214912
1712,214915
1713,214929
1714,21496
1715,21563
1716,21571
1717,21610
1718,21634
1719,2163920
1720,216467
1721,216475
1722,216478
1723,216691
1724,216696
1725,216702
1726,216703
1727,216706
1728,216718
1729,216719
1730,216720
1731,216770
1732,216775
1733,216795
1734,216811
1735,216812
1736,216987
1737,216989
1738,216998
1739,216999
1740,217033
1741,217035
1742,217037
1743,217045
1744,217062
1745,217129
1746,217524
1747,21766
1748,218181
1749,21819
1750,2182554
1751,2184935
1752,21861
1753,21880
1754,21896
1755,21910
1756,219121
1757,219129
1758,219134
1759,219868
1760,219892
1761,22002
1762,22027
1763,22042
1764,22063
1765,221161
1766,221162
1767,22118
1768,221204
1769,22140
1770,221454
1771,221765
1772,221766
1773,2217932
1774,2217940
1775,222091
1776,22274
1777,222879
1778,223100
1779,2231382
1780,2231383
1781,2231384
1782,2231385
1783,2231387
1784,2231389
1785,2231390
1786,2231391
1787,2231393
1788,2231395
1789,2233838
1790,2233839
1791,2233855
1792,2233857
1793,223870
1794,224279
1795,224283
1796,224287
1797,224740
1798,224846
1799,224865
1800,224866
1801,224907
1802,224908
1803,225832
1804,225833
1805,225838
1806,22662
1807,22663
1808,226677
1809,227257
1810,227485
1811,227487
1812,227494
1813,227721
1814,227722
1815,227725
