name,rank,id
Medicago sativa,species,3879
Phaseolus,genus,3883
Phaseolus lunatus,species,3884
Phaseolus vulgaris,species,3885
Pisum,genus,3887
Lathyrus oleraceus,species,3888
Vicia faba,species,3906
Vicia,genus,3904
Vigna,genus,3913
Vigna angularis,species,3914
Vigna mungo,species,3915
Vigna unguiculata,species,3917
Linum,genus,4005
Linaceae,family,4004
Rhus,genus,4012
Tropaeolum,genus,4019
Tropaeolaceae,family,4018
Daucus,genus,4038
Daucus carota,species,4039
Petroselinum,genus,4042
Petroselinum crispum,species,4043
Apium,genus,4044
Apium graveolens,species,4045
Coriandrum,genus,4046
Coriandrum sativum,species,4047
Ipomoea,genus,4119
Convolvulaceae,family,4118
Olea,genus,4145
Oleaceae,family,4144
Jasminum,genus,4147
Sesamum,genus,4181
Pedaliaceae,family,4180
Sesamum indicum,species,4182
Artemisia,genus,4219
Helianthus annuus,species,4232
Helianthus,genus,4231
Helianthus tuberosus,species,4233
Lactuca,genus,4235
Lactuca sativa,species,4236
Cynara,genus,4264
Nelumbo,genus,4430
Proteales,order,232378
Nelumbonaceae,family,4429
Colocasia esculenta,species,4460
Alismatales,order,16360
Araceae,family,4454
Colocasia,genus,4459
Avena sativa,species,4498
Hordeum vulgare,species,4513
Triticodae,no rank,1648038
Hordeum,genus,4512
Oryza longistaminata,species,4528
Oryza,genus,4527
Oryza sativa,species,4530
Pennisetum,genus,4541
Panicodae,no rank,1648036
Saccharum officinarum,species,4547
Saccharum,genus,4546
Saccharum officinarum species complex,no rank,286192
Secale,genus,4549
Triticum aestivum,species,4565
Triticum,genus,4564
Triticum turgidum subsp. durum,subspecies,4567
Triticum turgidum,species,4571
Ananas,genus,4614
Bromeliaceae,family,4613
Ananas comosus,species,4615
Musa,genus,4640
Zingiberales,order,4618
Musaceae,family,4637
Zingiber,genus,4650
Zingiberaceae,family,4642
Dioscorea,genus,4672
Dioscoreales,order,40548
Dioscoreaceae,family,4671
Allium cepa,species,4679
Amaryllidaceae,family,4668
Allium,genus,4678
Allium sativum,species,4682
Asparagus,genus,4685
Phoenix,genus,4719
Juniperus,genus,13100
Cupressales,order,1446379
Cupressaceae,family,3367
Borago,genus,13362
Boraginaceae,family,21571
Capparis,genus,13394
Cichorium,genus,13426
Cinnamomum,genus,13428
Coffea arabica,species,13443
Corylus avellana,species,13451
Corylus,genus,13450
Tagetes,genus,13707
Vaccinium,genus,13749
Ericaceae,family,4345
Cocos nucifera,species,13894
Cocos,genus,13893
Zizania,genus,15949
Phleum pratense,species,15957
Phleum,genus,15956
Juglans,genus,16718
Juglandaceae,family,16714
Eruca,genus,19151
Mentha,genus,21819
Punica,genus,22662
Lythraceae,family,3928
Punica granatum,species,22663
Pyrus communis,species,23211
Rubus,genus,23216
Mangifera,genus,23461
Physalis,genus,24663
Mangifera indica,species,29780
Carya illinoinensis,species,32201
Carya,genus,13402
Morus rubra,species,32202
Morus,genus,3497
Rubus idaeus,species,32247
Diospyros kaki,species,35925
Ebenaceae,family,19955
Diospyros,genus,13492
Prunus armeniaca,species,36596
Cydonia,genus,36609
Lavandula,genus,39169
Melissa,genus,39170
Ocimum,genus,39173
Origanum,genus,39174
Ocimum basilicum,species,39350
Origanum vulgare,species,39352
Agave,genus,39509
Anethum,genus,40921
Anethum graveolens,species,40922
Foeniculum,genus,48037
Salvia hispanica,species,49212
Salvia incertae sedis,no rank,2291027
Triticum turgidum subsp. dicoccum,subspecies,49225
Coffea canephora,species,49390
Taraxacum,genus,49743
Glycyrrhiza glabra,species,49827
Glycyrrhiza,genus,46347
Thymus,genus,49990
Myristica,genus,51088
Myristica fragrans,species,51089
Vanilla,genus,51238
Orchidaceae,family,4747
Ferula communis,species,54829
Citrus unshiu,species,55188
Pistacia vera,species,55513
Pistacia,genus,55512
Bambusa vulgaris,species,58168
Bambusodae,no rank,1648035
Bambusa,genus,4581
Garcinia mangostana,species,58228
