MassIVE,Filename,node_id,file_usi
MSV000084900,18NAVY28_v1_sup_1_GE12_01_39612.mzXML,cheddar cheese,mzspec:MSV000084900:18NAVY28_v1_sup_1_GE12_01_39612
MSV000084900,18NAVY28_v1_sup_2_GF12_01_39613.mzXML,potato,mzspec:MSV000084900:18NAVY28_v1_sup_2_GF12_01_39613
MSV000084900,18NAVY28_v1_sup_3_GG12_01_39614.mzXML,broccoli,mzspec:MSV000084900:18NAVY28_v1_sup_3_GG12_01_39614
MSV000084900,18NAVY28_v1_sup_4_rerun_GH12_01_39672.mzXML,chicken,mzspec:MSV000084900:18NAVY28_v1_sup_4_rerun_GH12_01_39672
MSV000084900,18NAVY28_v1_sup_5_BA2_01_39725.mzXML,complex,mzspec:MSV000084900:18NAVY28_v1_sup_5_BA2_01_39725
MSV000084900,18NAVY28_v1_sup_6_BB2_01_39726.mzXML,butter,mzspec:MSV000084900:18NAVY28_v1_sup_6_BB2_01_39726
MSV000084900,18NAVY28_V1_supper_GD4_01_39842.mzXML,complex,mzspec:MSV000084900:18NAVY28_V1_supper_GD4_01_39842
MSV000084900,18NAVY28_V2_ALL_GE8_01_39859.mzXML,complex,mzspec:MSV000084900:18NAVY28_V2_ALL_GE8_01_39859
MSV000084900,18NAVY28_V2_breakfast_GE5_01_39854.mzXML,complex,mzspec:MSV000084900:18NAVY28_V2_breakfast_GE5_01_39854
MSV000084900,18NAVY28_v2_brk_1_BD5_01_39775.mzXML,black bean,mzspec:MSV000084900:18NAVY28_v2_brk_1_BD5_01_39775
MSV000084900,18NAVY28_v2_brk_2_BE5_01_39773.mzXML,plant,mzspec:MSV000084900:18NAVY28_v2_brk_2_BE5_01_39773
MSV000084900,18NAVY28_v2_brk_3_BF5_01_39774.mzXML,complex,mzspec:MSV000084900:18NAVY28_v2_brk_3_BF5_01_39774
MSV000084900,18NAVY28_v2_lun_1_BF6_01_39697.mzXML,complex,mzspec:MSV000084900:18NAVY28_v2_lun_1_BF6_01_39697
MSV000084900,18NAVY28_v2_lun_2_BG6_01_39701.mzXML,ham,mzspec:MSV000084900:18NAVY28_v2_lun_2_BG6_01_39701
MSV000084900,18NAVY28_v2_lun_3_BH6_01_39703.mzXML,peanut,mzspec:MSV000084900:18NAVY28_v2_lun_3_BH6_01_39703
MSV000084900,18NAVY28_v2_lun_4_BA7_01_39698.mzXML,apple,mzspec:MSV000084900:18NAVY28_v2_lun_4_BA7_01_39698
MSV000084900,18NAVY28_v2_lun_5_BB7_01_39702.mzXML,potato,mzspec:MSV000084900:18NAVY28_v2_lun_5_BB7_01_39702
MSV000084900,18NAVY28_v2_lun_6_BC7_01_39699.mzXML,cheddar cheese,mzspec:MSV000084900:18NAVY28_v2_lun_6_BC7_01_39699
MSV000084900,18NAVY28_v2_lun_7_BD7_01_39700.mzXML,grain/grass,mzspec:MSV000084900:18NAVY28_v2_lun_7_BD7_01_39700
MSV000084900,18NAVY28_V2_lunch_GE7_01_39856.mzXML,complex,mzspec:MSV000084900:18NAVY28_V2_lunch_GE7_01_39856
MSV000084900,18NAVY28_V2_snack_GE4_01_39855.mzXML,complex,mzspec:MSV000084900:18NAVY28_V2_snack_GE4_01_39855
