file_usi,MassIVE,Filename,Category,node_id
mzspec:MSV000095003:P5_E4_290,MSV000095003,P5_E4_290.mzML,Root > Personal Care > Oral Care > Toothpaste,Toothpaste
mzspec:MSV000095003:P5_E5_288,MSV000095003,P5_E5_288.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P5_E6_274,MSV000095003,P5_E6_274.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P5_E7_267,MSV000095003,P5_E7_267.mzML,Root > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen
mzspec:MSV000095003:P5_E8_272,MSV000095003,P5_E8_272.mzML,Root > Personal Care > Cosmetics > Perfume & Cologne,Perfume & Cologne
mzspec:MSV000095003:P5_E9_282,MSV000095003,P5_E9_282.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P6_A10_306,MSV000095003,P6_A10_306.mzML,Root > Personal Care > Cosmetics > Skin Care > Serum,Serum
mzspec:MSV000095003:P6_A11_268,MSV000095003,P6_A11_268.mzML,Root > Personal Care > Oral Care > Toothpaste,Toothpaste
mzspec:MSV000095003:P6_A12_289,MSV000095003,P6_A12_289.mzML,Root > Personal Care > Cosmetics > Perfume & Cologne,Perfume & Cologne
mzspec:MSV000095003:P6_A1_271,MSV000095003,P6_A1_271.mzML,Root > Personal Care > Cosmetics > Skin Care > Serum,Serum
mzspec:MSV000095003:P6_A2_281,MSV000095003,P6_A2_281.mzML,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents,Toners & Astringents
mzspec:MSV000095003:P6_A3_285,MSV000095003,P6_A3_285.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash,Body Wash
mzspec:MSV000095003:P6_A4_305,MSV000095003,P6_A4_305.mzML,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents,Toners & Astringents
mzspec:MSV000095003:P6_A5_298,MSV000095003,P6_A5_298.mzML,Root > Personal Care > Cosmetics > Perfume & Cologne,Perfume & Cologne
mzspec:MSV000095003:P6_A6_269,MSV000095003,P6_A6_269.mzML,Root > Personal Care > Vision Care > Eye Drops & Lubricants,Eye Drops & Lubricants
mzspec:MSV000095003:P6_A7_270,MSV000095003,P6_A7_270.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Cream,Cream
mzspec:MSV000095003:P6_A8_276,MSV000095003,P6_A8_276.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P6_A9_280,MSV000095003,P6_A9_280.mzML,Root > Personal Care > Cosmetics > Skin Care > Serum,Serum
mzspec:MSV000095003:P6_B10_84,MSV000095003,P6_B10_84.mzML,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents,Toners & Astringents
mzspec:MSV000095003:P6_B11_291,MSV000095003,P6_B11_291.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Conditioner,Conditioner
mzspec:MSV000095003:P6_B12_239,MSV000095003,P6_B12_239.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo
mzspec:MSV000095003:P6_B1_277,MSV000095003,P6_B1_277.mzML,Root > Personal Care > Hair Care > Hair masque,Hair masque
mzspec:MSV000095003:P6_B2_237,MSV000095003,P6_B2_237.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P6_B3_247,MSV000095003,P6_B3_247.mzML,Root > Personal Care > Cosmetics > Skin Care > After sun lotion,After sun lotion
mzspec:MSV000095003:P6_B4_275,MSV000095003,P6_B4_275.mzML,Root > Personal Care > Shaving & Grooming > Hair Removal Cream,Hair Removal Cream
mzspec:MSV000095003:P6_B5_251,MSV000095003,P6_B5_251.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Cream,Cream
mzspec:MSV000095003:P6_B6_48,MSV000095003,P6_B6_48.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P6_B7_246,MSV000095003,P6_B7_246.mzML,Root > Personal Care > Cosmetics > Skin Care > After sun lotion,After sun lotion
mzspec:MSV000095003:P6_B8_235,MSV000095003,P6_B8_235.mzML,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents,Toners & Astringents
mzspec:MSV000095003:P6_B9_248,MSV000095003,P6_B9_248.mzML,Root > Personal Care > Hair Care > Hair Styling Products,Hair Styling Products
mzspec:MSV000095003:P6_C10_263,MSV000095003,P6_C10_263.mzML,Root > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen
mzspec:MSV000095003:P6_C11_107,MSV000095003,P6_C11_107.mzML,Root > Personal Care > Shaving & Grooming > Shaving Cream,Shaving Cream
mzspec:MSV000095003:P6_C12_96,MSV000095003,P6_C12_96.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P6_C1_284,MSV000095003,P6_C1_284.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash,Body Wash
